Quarter,Unleaded Gasoline Sale (UGS),RNUV,# LPG Vehicles (NLPG),Price of Unleaded Gasoline (PU),Price of Diesel Gasoline (PG),# Unleaded Gasoline Vehicles (NUGV),# of Diesel Gasoline Vehicles (NDGV),GNP Agriculture,GNP Commerce,GNP Total
2000_Q1,1 128 971,0.0146, 940 000,469.03,355.69,4 647 500,281.9853,1 040 173,3 483 132,18 022 686
2000_Q2,1 199 569,0.0205, 941 000,459.42,344.58,4 742 876,284.0813,1 760 460,4 525 451,21 797 130
2000_Q3,1 370 167,0.0207, 943 500,439.98,327.21,4 840 931,286.7169,6 974 808,5 915 204,30 050 207
2000_Q4,1 127 548,0.0163, 948 000,402.08,300.67,4 919 685,288.3137,3 267 125,4 929 778,24 480 153
2001_Q1,1 033 918,0.0071, 950 000,411.58,305.75,4 954 754,287.6237,1 004 528,3 418 387,15 832 648
2001_Q2,1 019 754,0.0051, 955 000,520.39,374.78,4 980 204,287.8814,1 449 357,4 359 831,20 296 918
2001_Q3,1 209 916,0.0041, 967 500,530.37,398.71,5 000 446,287.5452,5 890 424,5 925 547,28 017 963
2001_Q4,1 002 789,0.0048, 990 000,496.35,370.7,5 024 693,286.9786,1 940 854,4 559 190,22 656 812
2002_Q1, 893 722,0.0012,1 000 000,479.52,352.72,5 030 810,286.3783, 832 953,3 374 849,18 393 446
2002_Q2,1 027 252,0.0032,1 001 000,506.36,373.44,5 046 960,286.0471,1 419 764,4 363 782,20 382 635
2002_Q3,1 153 265,0.0034,1 003 500,533.66,404.49,5 064 066,285.879,6 340 745,6 229 580,29 835 296
2002_Q4, 991 981,0.0044,1 008 000,506.9,390.75,5 086 547,286.1087,2 258 470,5 057 739,25 813 612
2003_Q1, 806 257,0.0019,1 010 000,537.5,425,5 096 278,285.8286, 841 604,3 933 013,20 084 070
2003_Q2, 960 556,0.0056,1 048 000,502.06,382.47,5 125 065,286.2459,1 519 490,4 395 167,21 769 200
2003_Q3,1 104 825,0.0041,1 143 000,488.72,374.48,5 146 129,287.7798,6 952 669,6 096 102,30 878 474
2003_Q4, 934 022,0.0062,1 314 000,455.83,351.18,5 178 274,290.2288,2 112 006,5 035 207,25 427 354
2004_Q1, 832 350,0.003,1 390 000,454.11,352.22,5 193 861,293.503,1 025 366,4 055 284,20 692 122
2004_Q2, 975 165,0.003,1 401 000,478.2,372.54,5 209 448,296.7488,1 621 092,5 190 860,24 061 451
2004_Q3,1 094 823,0.0051,1 428 500,522.95,408.34,5 236 227,298.6176,6 932 300,6 886 243,33 270 727
2004_Q4, 854 517,0.0181,1 478 000,561.67,438.75,5 330 892,303.1641,2 408 982,5 847 940,28 644 792
2005_Q1, 762 559,0.0035,1 500 000,571.48,438.67,5 349 584,305.5032,1 027 640,4 405 719,22 144 043
2005_Q2, 890 693,0.0131,1 512 000,591.14,456.19,5 419 927,310.4279,1 424 674,5 308 303,25 032 070
2005_Q3,1 040 946,0.0162,1 542 000,609.03,471.86,5 507 485,316.2897,6 476 845,6 784 956,33 325 846
2005_Q4, 793 399,0.0158,1 596 000,565.19,449.19,5 594 288,322.2079,2 193 688,5 802 943,28 445 453
2006_Q1, 736 580,0.008,1 620 000,565.19,449.19,5 635 972,324.9761,1 079 022,4 626 005,23 251 245
2006_Q2, 877 614,0.0114,1 629 500,565.19,449.19,5 696 182,329.4702,1 495 908,5 573 718,26 283 673
2006_Q3, 946 783,0.0108,1 653 250,565.19,449.19,5 754 077,333.7144,6 800 688,7 124 204,34 992 138
2006_Q4, 872 000,0.0133,1 696 000,565.19,449.19,5 825 866,339.2281,2 303 373,6 093 090,29 867 726
2007_Q1,,0.0074,1 715 000,565.19,449.19,5 869 018,342.1729,1 132 973,4 857 305,24 413 807
2007_Q2,,0.0106,1 725 300,565.19,449.19,5 931 348,346.9407,1 570 703,5 852 404,27 597 857
2007_Q3,,0.0101,1 751 050,565.19,449.19,5 991 280,351.4449,7 140 722,7 480 414,36 741 745
2007_Q4,,0.0124,1 797 400,565.19,449.19,6 065 597,357.2902,2 418 541,6 397 745,31 361 112
